extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
42	ENG 341-398	GRAPHITE ADA PLASTIC 1/8 12X24 SHT		GRAPHITE ADA PLASTIC 1/8	12X24 SHT		637928		911a2a90-25b0-cf93-e814-46a5c8da2770
43	ENG 341-401	BLACK ADA ALT. PLASTIC 1 /8 12X24		BLACK ADA ALT. PLASTIC 1	/8 12X24		389918		911a2a90-25b0-cf93-e814-46a5d81a4170
44	ENG 341-501	BLUE 1/8 ADA PLASTIC 12X 24		BLUE 1/8 ADA PLASTIC 12X	24		467173		911a2a90-25b0-cf93-e814-46a5105f5b70
45	ENG 341-502	MARINE BLUE 1/8 ADA PLAS TIC 12X24		MARINE BLUE 1/8 ADA PLAS	TIC 12X24		380572		911a2a90-25b0-cf93-e814-46a5206e7870
46	ENG 341-509	BAHAMA BLUE PLASTIC SHEE T 12X24		BAHAMA BLUE PLASTIC SHEE	T 12X24		795514		911a2a90-25b0-cf93-e814-46a5c8ca9670
47	ENG 341-601	RED 1/8 ADA PLASTIC SHEE T 12X24		RED 1/8 ADA PLASTIC SHEE	T 12X24		567921		911a2a90-25b0-cf93-e814-46a580e3b170
48	ENG 341-602	BURGUNDY 1/8 ADA 12X24 P LASTIC		BURGUNDY 1/8 ADA 12X24 P	LASTIC		824431		911a2a90-25b0-cf93-e814-46a55017cc70
49	ENG 341-602/24X24	BURGUNDY ADA PLASTIC SHE ET		BURGUNDY ADA PLASTIC SHE	ET		939132		911a2a90-25b0-cf93-e814-46a5b88be570
50	ENG 341-671	BORDEAUX 1/8 ADA 12X24 P LASTIC		BORDEAUX 1/8 ADA 12X24 P	LASTIC		889821		911a2a90-25b0-cf93-e814-46a5c8e4fe70
51	ENG 341-701	YELLOW ADA PLASTIC 12X24 SHT 1/8		YELLOW ADA PLASTIC 12X24	SHT 1/8		498621		911a2a90-25b0-cf93-e814-46a540f71971
52	ENG 341-803	DARK BROWN ADA PLASTIC 1 /8 12X24		DARK BROWN ADA PLASTIC 1	/8 12X24		480913		911a2a90-25b0-cf93-e814-46a510053271
53	ENG 341-808	SAND ADA PLASTIC 12X24 S HT 1/8		SAND ADA PLASTIC 12X24 S	HT 1/8		498623		911a2a90-25b0-cf93-e814-46a500f74a71
54	ENG 341-823	CANYON ADA PLASTIC 1/8 1 2X24		CANYON ADA PLASTIC 1/8 1	2X24		480930		911a2a90-25b0-cf93-e814-46a5c09f6471
55	ENG 341-902	PINE GREEN 12X24 PLASTIC SHEET 1/8		PINE GREEN 12X24 PLASTIC	SHEET 1/8		791176		911a2a90-25b0-cf93-e814-46a5a04b7e71
56	ENG 341-905	GRASS GREEN 1/8 ADA PLAS TIC 12X24		GRASS GREEN 1/8 ADA PLAS	TIC 12X24		543959		911a2a90-25b0-cf93-e814-46a5d8319771
57	ENG 343-704	1/8 YL/BK 3-PLY PLASTIC SHEET		1/8 YL/BK 3-PLY PLASTIC	SHEET		551217		911a2a90-25b0-cf93-e814-46a5f8acb571
58	ENG 3532BH-B	3/4X50YD BLACK VELCRO HO OK		3/4X50YD BLACK VELCRO HO	OK		413452		911a2a90-25b0-cf93-e814-46a57889d671
59	ENG 3533BL-B	3/4X50YD BLACK VELCRO LO OP		3/4X50YD BLACK VELCRO LO	OP		413454		911a2a90-25b0-cf93-e814-46a5109ff171
60	ENG 36	2X8 POLISHED YELLOW GOLD WALL HOLDER		2X8 POLISHED YELLOW GOLD	WALL HOLDER		539337		911a2a90-25b0-cf93-e814-46a5188e0e72
61	ENG 36-10-BL	2X10 MATTE BLACK WALL HO LDER		2X10 MATTE BLACK WALL HO	LDER		949540		911a2a90-25b0-cf93-e814-46a5f07f3072
62	ENG 36-10-G	2X10 GOLD NAMEPLATE WALL HOLDER		2X10 GOLD NAMEPLATE WALL	HOLDER		412751		911a2a90-25b0-cf93-e814-46a550dd5472
