extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
3095	GIL 500L/DH/2X	DARK HEATHER LADIES S/S TEE		DARK HEATHER LADIES S/S	TEE		1068327		911a2a90-25b0-cf93-e814-4aa5b0e5ae42
3096	GIL 500L/DH/L	DARK HEATHER LADIES TEE		DARK HEATHER LADIES TEE			468180		911a2a90-25b0-cf93-e814-4aa5e073c842
3097	GIL 500L/DH/S	DK HEATHER LADIES TEE		DK HEATHER LADIES TEE			757883		911a2a90-25b0-cf93-e814-4aa59866e142
3098	GIL 500L/FG/L	FOREST GREEN LADIES TEE		FOREST GREEN LADIES TEE			469049		911a2a90-25b0-cf93-e814-4aa578f9fa42
3099	GIL 500L/GD/M	GOLD LADIES TEE		GOLD LADIES TEE			405555		911a2a90-25b0-cf93-e814-4aa5b02a1443
3100	GIL 500L/HL/L	HELICONIA LADIES S/S TEE		HELICONIA LADIES S/S TEE			948602		911a2a90-25b0-cf93-e814-4aa590dc2c43
3101	GIL 500L/HL/S	HELICONIA LADIES TEE		HELICONIA LADIES TEE			346157		911a2a90-25b0-cf93-e814-4aa540454643
3102	GIL 500L/HRO/2X	HTR RADIANT ORCHID LADIE S S/S T		HTR RADIANT ORCHID LADIE	S S/S T		1068328		911a2a90-25b0-cf93-e814-4aa5f0175f43
3103	GIL 500L/HSA/M	HEATHER SAPPHIRE LADIES TEE		HEATHER SAPPHIRE LADIES	TEE		30582		911a2a90-25b0-cf93-e814-4aa550087843
3104	GIL 500L/HSA/S	HEATHER SAPPHIRE LADIES TEE		HEATHER SAPPHIRE LADIES	TEE		30581		911a2a90-25b0-cf93-e814-4aa5e0869143
3105	GIL 500L/LB/L	LIGHT BLUE LADIES S/S TE E		LIGHT BLUE LADIES S/S TE	E		948795		911a2a90-25b0-cf93-e814-4aa52023ab43
3106	GIL 500L/LB/XL	LIGHT BLUE LADIES TEE		LIGHT BLUE LADIES TEE			554240		911a2a90-25b0-cf93-e814-4aa50058c343
3107	GIL 500L/LM/2X	LIME LADIES TEE		LIME LADIES TEE			878131		911a2a90-25b0-cf93-e814-4aa5a003dc43
3108	GIL 500L/LM/L	LIME LADIES TEE		LIME LADIES TEE			410865		911a2a90-25b0-cf93-e814-4aa5a8a6f443
3109	GIL 500L/LM/M	LIME LADIES TEE		LIME LADIES TEE			410864		911a2a90-25b0-cf93-e814-4aa548390d44
3110	GIL 500L/LM/XL	LIME LADIES TEE		LIME LADIES TEE			410867		911a2a90-25b0-cf93-e814-4aa558982544
3111	GIL 500L/MA/L	MAROON LADIES S/S TEE		MAROON LADIES S/S TEE			941524		911a2a90-25b0-cf93-e814-4aa570943e44
3112	GIL 500L/MT/L	MINT LADIES TEE		MINT LADIES TEE			729443		911a2a90-25b0-cf93-e814-4aa508785944
3113	GIL 500L/MT/XL	MINT GREEN LADIES TEE		MINT GREEN LADIES TEE			760459		911a2a90-25b0-cf93-e814-4aa540a97244
3114	GIL 500L/NV/2X	NAVY LADIES S/S TEE		NAVY LADIES S/S TEE			1068090		911a2a90-25b0-cf93-e814-4aa550bd8a44
3115	GIL 500L/NV/L	NAVY LADIES TEE		NAVY LADIES TEE			469050		911a2a90-25b0-cf93-e814-4aa500e1a244
3116	GIL 500L/OR/L	ORANGE LADIES S/S TEE		ORANGE LADIES S/S TEE			948797		911a2a90-25b0-cf93-e814-4aa5e0c4bb44
3117	GIL 500L/PU/L	PURPLE LADIES S/S TEE		PURPLE LADIES S/S TEE			1086729		911a2a90-25b0-cf93-e814-4aa5e0cad344
3118	GIL 500L/RD/XL	RED LADIES TEE		RED LADIES TEE			911160		911a2a90-25b0-cf93-e814-4aa52054ec44
3119	GIL 500L/RO/2X	ROYAL LADIES TEE		ROYAL LADIES TEE			366277		911a2a90-25b0-cf93-e814-4aa578880545
3120	GIL 500L/RO/L	ROYAL LADIES TEE		ROYAL LADIES TEE			286878		911a2a90-25b0-cf93-e814-4aa518341e45
3121	GIL 500L/RO/M	ROYAL LADIES TEE		ROYAL LADIES TEE			286877		911a2a90-25b0-cf93-e814-4aa588323745
3122	GIL 500L/RO/S	ROYAL LADIES TEE		ROYAL LADIES TEE			286876		911a2a90-25b0-cf93-e814-4aa588a24e45
3123	GIL 500L/RO/XL	ROYAL LADIES TEE		ROYAL LADIES TEE			286879		911a2a90-25b0-cf93-e814-4aa5a0216745
3124	GIL 500L/SA/L	SAPPHIRE LADIES TEE		SAPPHIRE LADIES TEE			729444		911a2a90-25b0-cf93-e814-4aa5604d8045
3125	GIL 500L/SA/XL	SAPPHIRE LADIES S/S TEE		SAPPHIRE LADIES S/S TEE			723494		911a2a90-25b0-cf93-e814-4aa568039a45
3126	GIL 500L/SFGR/L	SAFETY GREEN LADIES SHOR T SLEEVE TEES		SAFETY GREEN LADIES SHOR	T SLEEVE TEES		735820		911a2a90-25b0-cf93-e814-4aa5e085b345
3127	GIL 500L/SFGR/M	SAFETY GREEN LADIES SHOR T SLEEVE TEES		SAFETY GREEN LADIES SHOR	T SLEEVE TEES		735814		911a2a90-25b0-cf93-e814-4aa540a8cc45
3128	GIL 500L/SFGR/S	SAFETY GREEN LADIES SHOR T SLEEVE TEES		SAFETY GREEN LADIES SHOR	T SLEEVE TEES		735819		911a2a90-25b0-cf93-e814-4aa5485ee645
3129	GIL 500L/SFOR/L	SAFETY ORANGE LADIES SHO RT SLEEVE TEES		SAFETY ORANGE LADIES SHO	RT SLEEVE TEES		735822		911a2a90-25b0-cf93-e814-4aa570110146
3130	GIL 500L/SFOR/M	SAFETY ORANGE LADIES TEE		SAFETY ORANGE LADIES TEE			735821		911a2a90-25b0-cf93-e814-4aa528c61b46
3131	GIL 500L/SFOR/S	SAFETY ORANGE LADIES TEE		SAFETY ORANGE LADIES TEE			735812		911a2a90-25b0-cf93-e814-4aa598f23d46
3132	GIL 500L/SFPK/L	SAFETY PINK LADIES TEE		SAFETY PINK LADIES TEE			201567		911a2a90-25b0-cf93-e814-4aa558c75846
3133	GIL 500L/SFPK/M	SAFETY PINK LADIES TEE		SAFETY PINK LADIES TEE			201703		911a2a90-25b0-cf93-e814-4aa5e0d47246
3134	GIL 500L/SFPK/S	SAFETY PINK LADIES TEE		SAFETY PINK LADIES TEE			201885		911a2a90-25b0-cf93-e814-4aa580fd8b46
3135	GIL 500L/SG/L	SPORTS GREY LADIES S/S T EE		SPORTS GREY LADIES S/S T	EE		948609		911a2a90-25b0-cf93-e814-4aa56897a546
3136	GIL 500L/SG/M	SPORT GREY LADIES S/S TE E		SPORT GREY LADIES S/S TE	E		801307		911a2a90-25b0-cf93-e814-4aa5805bbf46
3137	GIL 500L/TB/XL	TROPICAL BLUE LADIES TEE		TROPICAL BLUE LADIES TEE			792693		911a2a90-25b0-cf93-e814-4aa5f85ad946
3138	GIL 500L/WH/L	WHITE LADIES TEE		WHITE LADIES TEE			906026		911a2a90-25b0-cf93-e814-4aa588b4f446
3139	GIL 500L/WH/M	WHITE LADIES TEE		WHITE LADIES TEE			906025		911a2a90-25b0-cf93-e814-4aa5b0f71047
3140	GIL 500L/WH/S	WHITE LADIES TEE		WHITE LADIES TEE			906024		911a2a90-25b0-cf93-e814-4aa5207b3147
3141	GIL 500L/WH/XL	WHITE LADIES TEE		WHITE LADIES TEE			906027		911a2a90-25b0-cf93-e814-4aa5d0f74f47
3142	GIL 5100P/BK/2T	BLACK TODDLER TEE		BLACK TODDLER TEE			914228		911a2a90-25b0-cf93-e814-4aa578606c47
3143	GIL 5100P/BK/3T	BLACK TODDLER TEE		BLACK TODDLER TEE			469945		911a2a90-25b0-cf93-e814-4aa588258d47
3144	GIL 5100P/BK/4T	BLACK TODDLER TEE		BLACK TODDLER TEE			914230		911a2a90-25b0-cf93-e814-4aa59886ad47
3145	GIL 5100P/BK/5T	BLACK TODDLER TEE		BLACK TODDLER TEE			469946		911a2a90-25b0-cf93-e814-4aa5a8d9c747
3146	GIL 5100P/BK/6T	BLACK TODDLER TEE		BLACK TODDLER TEE			914231		911a2a90-25b0-cf93-e814-4aa5a824e147
3147	GIL 5100P/NV/3T	NAVY TODDLER S/S TEE		NAVY TODDLER S/S TEE			1098441		911a2a90-25b0-cf93-e814-4aa56882fa47
3148	GIL 5100P/NV/4T	NAVY TODDLER TEE		NAVY TODDLER TEE			469312		911a2a90-25b0-cf93-e814-4aa528e01348
3149	GIL 5100P/NV/6T	NAVY TODDLER TEE		NAVY TODDLER TEE			935441		911a2a90-25b0-cf93-e814-4aa548982c48
3150	GIL 5100P/RD/2T	RED TODDLER TEE		RED TODDLER TEE			762289		911a2a90-25b0-cf93-e814-4aa598484548
3151	GIL 5100P/RD/3T	RED TODDLER TEE		RED TODDLER TEE			8103		911a2a90-25b0-cf93-e814-4aa530515e48
3152	GIL 5100P/RD/4T	RED TODDLER TEE		RED TODDLER TEE			762295		911a2a90-25b0-cf93-e814-4aa5e8247848
3153	GIL 5100P/RD/5T	RED TODDLER TEE		RED TODDLER TEE			972215		911a2a90-25b0-cf93-e814-4aa5386b9148
3154	GIL 5100P/RO/2T	ROYAL TODDLER TEE		ROYAL TODDLER TEE			674711		911a2a90-25b0-cf93-e814-4aa540d0ab48
3155	GIL 5100P/SG/2T	SPORT GREY TODDLER TEE		SPORT GREY TODDLER TEE			54701		911a2a90-25b0-cf93-e814-4aa508fdc548
3156	GIL 5100P/SG/4T	SPORT GREY TODDLER TEE		SPORT GREY TODDLER TEE			91446		911a2a90-25b0-cf93-e814-4aa5e0aee148
3157	GIL 5100P/SG/6T	SPORT GREY TODDLER TEE		SPORT GREY TODDLER TEE			91447		911a2a90-25b0-cf93-e814-4aa55031fe48
