extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
282,APP K50-CM,1/2 CAST MALL COVER FRM3 5,,1/2 CAST MALL COVER FRM3,5,k50 cm 1 2 cast mall cover frm3 5 83950 blank,83950,,b95d65c6-81a4-73a6-d314-d8e7383463fb,83950,k50 cm 1 2 cast mall cover frm3 5 blank,no,
283,APP K75,34 COVER FOR FORM 35 UNILET,,34 COVER FOR FORM 35,UNILET,k75 34 cover for form 35 unilet 18124 3 4 stamp steel,18124,,b95d65c6-81a4-73a6-d314-d8e78041aefb,18124,k75 34 cover for form 35 unilet 3 4 stamp steel,no,
284,APP K75-CM,3/4 CAST MALL COVER FRM3 5,,3/4 CAST MALL COVER FRM3,5,k75 cm 3 4 cast mall cover frm3 5 38177 blank cst covr form35,38177,,b95d65c6-81a4-73a6-d314-d8e7285ae8fb,38177,k75 cm 3 4 cast mall cover frm3 5 blank cst covr form35,no,
285,APP LB100-A,1 ALUM LB,,1 ALUM LB,,"lb100 a 1 aluminum lb 846344 1"" form 85 unilet",846344,,b95d65c6-81a4-73a6-d314-d8e7a85521fc,846344,"lb100 a 1 aluminum lb 1"" form 85 unilet",no,
286,APP LB100-M,1 THRD MALL LB FRM35 (EF C 70-103LB),,1 THRD MALL LB FRM35 (EF,C 70-103LB),lb100 m style mogul 1 thrd thread mall lb frm35 ef c 70 103lb 18142 frm form 35 type,18142,,b95d65c6-81a4-73a6-d314-d8e7f02c5cfc,18142,lb100 m style mogul 1 thrd thread mall lb frm35 ef c 70 103lb frm form 35 type,no,
287,APP LB107,4 THRD GRAYLOY LB FRM7,,4 THRD GRAYLOY LB FRM7,,lb107 4 thrd thread grayloy lb frm7 341529 fr fm7 body,341529,,b95d65c6-81a4-73a6-d314-d8e7084c9dfc,341529,lb107 4 thrd thread grayloy lb frm7 fr fm7 body,no,
288,APP LB107-SA,4 ALUM FM7 LB,,4 ALUM FM7 LB,,lb107 sa 4 aluminum fm7 lb 336987,336987,,b95d65c6-81a4-73a6-d314-d9e7e87cf236,336987,lb107 sa 4 aluminum fm7 lb,no,
289,APP LB125-M,1-1/4 THRD MALL LB FRM35 (LB125),,1-1/4 THRD MALL LB FRM35,(LB125),lb125 m style mogul 1 4 thrd thread mall lb frm35 18145 form35 type threa,18145,,b95d65c6-81a4-73a6-d314-d8e72811d1fc,18145,lb125 m style mogul 1 4 thrd thread mall lb frm35 form35 type threa,no,
290,APP LB150-M,1-1/2 THRD MALL LB FRM35,,1-1/2 THRD MALL LB FRM35,,lb150 m style mogul 1 2 thrd thread mall lb frm35 18148 type form 35 thr,18148,,b95d65c6-81a4-73a6-d314-d8e7506d06fd,18148,lb150 m style mogul 1 2 thrd thread mall lb frm35 type form 35 thr,no,
291,APP LB17,1/2 THRD GRAYLOY LB FRM7,,1/2 THRD GRAYLOY LB FRM7,,lb17 1 2 thrd thread grayloy lb frm7 18193 f fm7 body,18193,,b95d65c6-81a4-73a6-d314-d8e7f8b63cfd,18193,lb17 1 2 thrd thread grayloy lb frm7 f fm7 body,no,
292,APP LB200-M,2 THRD MALL LB FRM35,,2 THRD MALL LB FRM35,,lb200 m style mogul 2 thrd thread mall lb frm35 18151 frm type form 35 thr u,18151,,b95d65c6-81a4-73a6-d314-d8e798768cfd,18151,lb200 m style mogul 2 thrd thread mall lb frm35 frm type form 35 thr u,no,
293,APP LB250-M,2-1/2 THRD MALL LB FRM35,,2-1/2 THRD MALL LB FRM35,,lb250 m style mogul 2 1 thrd thread mall lb frm35 18154 form 35,18154,,b95d65c6-81a4-73a6-d314-d8e70879cefd,18154,lb250 m style mogul 2 1 thrd thread mall lb frm35 form 35,no,
294,APP LB27,3/4 THRD GRAYLOY LB FRM7,,3/4 THRD GRAYLOY LB FRM7,,lb27 3 4 thrd thread grayloy lb frm7 18194 f fm7 body,18194,,b95d65c6-81a4-73a6-d314-d8e708b21cfe,18194,lb27 3 4 thrd thread grayloy lb frm7 f fm7 body,no,
295,APP LB300-M,3 THRD MALL LB FRM35,,3 THRD MALL LB FRM35,,lb300 m style mogul 3 thrd thread mall lb frm35 18156 frm form 35 type threaded,18156,,b95d65c6-81a4-73a6-d314-d8e7705b5bfe,18156,lb300 m style mogul 3 thrd thread mall lb frm35 frm form 35 type threaded,no,
296,APP LB350-M,3-1/2 THRD MALL LB FRM 3 5,,3-1/2 THRD MALL LB FRM 3,5,lb350 m style mogul 3 1 2 thrd thread mall lb frm 5 767543 form 35 type thre a,767543,,b95d65c6-81a4-73a6-d314-d8e7c86d9bfe,767543,lb350 m style mogul 3 1 2 thrd thread mall lb frm 5 form 35 type thre a,no,
297,APP LB37,1 THRD GRAYLOY LB FRM7,,1 THRD GRAYLOY LB FRM7,,"lb37 1 thrd thread grayloy lb frm7 18197 frm """" or inch fm7 body",18197,,b95d65c6-81a4-73a6-d314-d8e7b848d5fe,18197,"lb37 1 thrd thread grayloy lb frm7 frm """" or inch fm7 body",no,
298,APP LB400-M,4 THRD MALL LB FRM35,,4 THRD MALL LB FRM35,,lb400 m style mogul 4 thrd thread mall lb frm35 18160 frm form 35 type threaded,18160,,b95d65c6-81a4-73a6-d314-d8e7d02710ff,18160,lb400 m style mogul 4 thrd thread mall lb frm35 frm form 35 type threaded,no,
299,APP LB47,1-1/4 THRD GRAYLOY LB FR M7,,1-1/4 THRD GRAYLOY LB FR,M7,lb47 1 4 thrd thread grayloy lb fr m7 18195 fm7 body,18195,,b95d65c6-81a4-73a6-d314-d8e720b64fff,18195,lb47 1 4 thrd thread grayloy lb fr m7 fm7 body,no,
300,APP LB50-M,1/2 THRD MALL LB FRM35 ( EFC 70-53LB),,1/2 THRD MALL LB FRM35 (,EFC 70-53LB),lb50 m style mogul 1 2 thrd thread mall lb frm35 efc 70 53lb 18136 fr form 35 unilet,18136,,b95d65c6-81a4-73a6-d314-d8e7385b9cff,18136,lb50 m style mogul 1 2 thrd thread mall lb frm35 efc 70 53lb fr form 35 unilet,no,
301,APP LB57,1-1/2 THRD GRAYLOY LB FR M7,,1-1/2 THRD GRAYLOY LB FR,M7,lb57 1 2 thrd thread grayloy lb fr m7 18196 fm7 body,18196,,b95d65c6-81a4-73a6-d314-d8e7f03acdff,18196,lb57 1 2 thrd thread grayloy lb fr m7 fm7 body,no,
302,APP LB57/KIE2,(1-1/2 LB),,(1-1/2 LB),,lb57 kie2 1 2 lb 88140,88140,,b95d65c6-81a4-73a6-d314-f5e758a67373,88140,lb57 kie2 1 2 lb,no,
303,APP LB67,2 THRD GRAYLOY LB FRM7,,2 THRD GRAYLOY LB FRM7,,lb67 2 thrd thread grayloy lb frm7 18239 frm fm7 body,18239,,b95d65c6-81a4-73a6-d314-d9e7e0e20200,18239,lb67 2 thrd thread grayloy lb frm7 frm fm7 body,no,
304,APP LB75-M,3/4 THRD MALL LB FRM35,,3/4 THRD MALL LB FRM35,,lb75 m style mogul 3 4 thrd thread mall lb frm35 18139 fr form 35 type thr,18139,,b95d65c6-81a4-73a6-d314-d9e700573700,18139,lb75 m style mogul 3 4 thrd thread mall lb frm35 fr form 35 type thr,no,
305,APP LB77,2-1/2 THRD GRAYLOY LB FR M7,,2-1/2 THRD GRAYLOY LB FR,M7,lb77 2 1 thrd thread grayloy lb fr m7 341503 fm7 body,341503,,b95d65c6-81a4-73a6-d314-d9e790897e00,341503,lb77 2 1 thrd thread grayloy lb fr m7 fm7 body,no,
306,APP LB87,3 THRD GRAYLOY LB FRM7,,3 THRD GRAYLOY LB FRM7,,lb87 3 thrd thread grayloy lb frm7 341511 frm fm7 body,341511,,b95d65c6-81a4-73a6-d314-d9e72823b600,341511,lb87 3 thrd thread grayloy lb frm7 frm fm7 body,no,
307,APP LBD200M,2 TYPE LBD UNILET MALL,,2 TYPE LBD UNILET,MALL,"lbd200m 2 type lbd unilet mall 258946 2""",258946,,b95d65c6-81a4-73a6-d314-d9e7800ce800,258946,"lbd200m 2 type lbd unilet mall 2""",no,
308,APP LBDN250-M,2-1/2 MALL LB W/COVER & GASKET,,2-1/2 MALL LB W/COVER &,GASKET,"lbdn250 m style mogul 2 1 mall lb w cover & gasket 823505 2"" type lbd unilet",823505,,b95d65c6-81a4-73a6-d314-d9e778812f01,823505,"lbdn250 m style mogul 2 1 mall lb w cover & gasket 2"" type lbd unilet",no,
