extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
157,ALT 7211-883,PG11 LOCKNUT LT GRAY,,PG11 LOCKNUT LT GRAY,,7211 883 pg11 locknut lt light gray g 61013,61013,,b95d65c6-81a4-73a6-d314-d7e7008498ff,61013,7211 883 pg11 locknut lt light gray g,no,
158,ALT 7211-884,PG13.5 LOCKNUT LT GRAY,,PG13.5 LOCKNUT LT GRAY,,7211 884 pg13.5 locknut lt light gray 61014,61014,,b95d65c6-81a4-73a6-d314-d7e75057d9ff,61014,7211 884 pg13.5 locknut lt light gray,no,
159,ALT 7211-885,PG16 LOCKNUT LT GRAY,,PG16 LOCKNUT LT GRAY,,7211 885 pg16 locknut lt light gray g 61015,61015,,b95d65c6-81a4-73a6-d314-d8e768f82e00,61015,7211 885 pg16 locknut lt light gray g,no,
160,ALT 7211-886,PG21 LOCKNUT LT GRAY,,PG21 LOCKNUT LT GRAY,,7211 886 pg21 locknut lt light gray g 61016,61016,,b95d65c6-81a4-73a6-d314-d8e7f8c57100,61016,7211 886 pg21 locknut lt light gray g,no,
161,ALT 8113303,PG11 FLAT NEOPRENE PACKI NG,,PG11 FLAT NEOPRENE PACKI,NG,8113303 pg11 flat neoprene packi ng 61017,61017,,b95d65c6-81a4-73a6-d314-d8e7e0bab200,61017,8113303 pg11 flat neoprene packi ng,no,
162,ALT 8113305,PG16 FLAT NEOPRENE PACKI NG,,PG16 FLAT NEOPRENE PACKI,NG,8113305 pg16 flat neoprene packi ng 61018,61018,,b95d65c6-81a4-73a6-d314-d8e7200af600,61018,8113305 pg16 flat neoprene packi ng,no,
163,ALT 8113306,PG21 FLAT NEOPRENE PACKI NG,,PG21 FLAT NEOPRENE PACKI,NG,8113306 pg21 flat neoprene packi ng 61020,61020,,b95d65c6-81a4-73a6-d314-d8e798703501,61020,8113306 pg21 flat neoprene packi ng,no,
164,ALT 8800PF/CU/XL,CURRENT ECO-COZY FLEECE,,CURRENT ECO-COZY FLEECE,,8800pf cu xl current eco cozy fleece 434231,434231,,b95d65c6-81a4-73a6-d314-fce7b00d8974,434231,8800pf cu xl current eco cozy fleece,no,
165,ALT 8800PF/HG/XL,HTR GREY ECO COZY SWEATS HIRT,,HTR GREY ECO COZY SWEATS,HIRT,8800pf hg xl htr grey eco cozy sweats hirt 558443,558443,,b95d65c6-81a4-73a6-d314-fce7c0f7c074,558443,8800pf hg xl htr grey eco cozy sweats hirt,no,
166,ALT 9582/BK/M,ECO TRUE BLACK WOMENS SW EATSHIRT,,ECO TRUE BLACK WOMENS SW,EATSHIRT,9582 bk m eco true black womens sweatshirt 790110,790110,,b95d65c6-81a4-73a6-d314-fce730f3ff74,790110,9582 bk m eco true black womens sweatshirt,no,
