extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
47,AMB AMP864CCHF,8x6x4 CLEAR COVER ENCLOS URE POLY,,8x6x4 CLEAR COVER ENCLOS,URE POLY,amp864cchf 8x6x4 clear cover enclosure poly 118397,118397,,b95d65c6-81a4-73a6-d314-d8e73054441c,118397,amp864cchf 8x6x4 clear cover enclosure poly,no,
48,AMB FB-1,2P3W 15A 125V SNGL REC F LOOR BOX BRASS,,2P3W 15A 125V SNGL REC F,LOOR BOX BRASS,fb floor box 1 2p3w 15a 125v sngl rec f loor bx brass re rect. simplex dev 134354,134354,,b95d65c6-81a4-73a6-d314-d8e708284416,134354,fb floor box 1 2p3w 15a 125v sngl rec f loor bx brass re rect. simplex dev,no,
49,AMB FB-1N,2P3W 15A 125V SNGL REC F LOOR BOX NICK,,2P3W 15A 125V SNGL REC F,LOOR BOX NICK,fb floor box 1n 2p3w 15a 125v sngl rec f loor bx nick r rect simplex dev nickel 289377,289377,,b95d65c6-81a4-73a6-d314-d8e738138d16,289377,fb floor box 1n 2p3w 15a 125v sngl rec f loor bx nick r rect simplex dev nickel,no,
50,AMB FB-2,2P3W 15A 125V DUP REC FL OOR BOX BRASS,,2P3W 15A 125V DUP REC FL,OOR BOX BRASS,fb floor box 2 2p3w 15a 125v dup rec bx brass rect. duplex dev 134357,134357,,b95d65c6-81a4-73a6-d314-d8e760779117,134357,fb floor box 2 2p3w 15a 125v dup rec bx brass rect. duplex dev,no,
51,AMB FB-2DB,15A 125V DUPLEX FLOOR BO X DRK BRONZE,,15A 125V DUPLEX FLOOR BO,X DRK BRONZE,fb floor box 2db 15a 125v duplex x drk bronze flo bx rect. dark 352668,352668,,b95d65c6-81a4-73a6-d314-d8e720d7cb17,352668,fb floor box 2db 15a 125v duplex x drk bronze flo bx rect. dark,no,
52,AMB FB-2N,NICKEL PLATED FLOOR BOX DUPLEX,,NICKEL PLATED FLOOR BOX,DUPLEX,fb floor box 2n nickel plated bx duplex rect dev 397532,397532,,b95d65c6-81a4-73a6-d314-d8e798dd0118,397532,fb floor box 2n nickel plated bx duplex rect dev,no,
53,AMB LVP-1,DIVIDER,,DIVIDER,,lvp 1 divider flexbox low voltage partition 149975,149975,,b95d65c6-81a4-73a6-d314-d8e700393418,149975,lvp 1 divider flexbox low voltage partition,no,
54,AMB P-116OW,1G PVC 16Cu. OLD WORK W/ EARS BOX,,1G PVC 16Cu. OLD WORK W/,EARS BOX,p 116ow 1g pvc 16cu. old work w/ clamp ears bx box 662674,662674,,b95d65c6-81a4-73a6-d314-d8e7b04e091e,662674,p 116ow 1g pvc 16cu. old work w/ clamp ears bx box,no,
55,AMB P-118OW,1G PVC 18Cu. OL WORK W/E ARS BOX,,1G PVC 18Cu. OL WORK W/E,ARS BOX,p 118ow 1g pvc 18cu. ol work w/ clamp ears bx box 662677,662677,,b95d65c6-81a4-73a6-d314-d8e768de571e,662677,p 118ow 1g pvc 18cu. ol work w/ clamp ears bx box,no,
56,AMB P-122OW,1G PVC 22Cu. OLD WORK W/ EARS BOX,,1G PVC 22Cu. OLD WORK W/,EARS BOX,p 122ow 1g pvc 22cu. old work w/ clamp ears bx box 662678,662678,,b95d65c6-81a4-73a6-d314-d8e7586d8d1e,662678,p 122ow 1g pvc 22cu. old work w/ clamp ears bx box,no,
