extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
146	ABB AF116-30-11-11	116A 3P CONT 1NO/NC AUX 24V		116A 3P CONT 1NO/NC AUX	24V		442783		911a2a90-25b0-cf93-e814-40a518f0ac59
147	ABB AF116-30-11-13	116A 3P CONT 1NO/NC AUX 100-(1SFL427001R1311)		116A 3P CONT 1NO/NC AUX	100-(1SFL427001R1311)		442816		911a2a90-25b0-cf93-e814-40a5d892c759
148	ABB AF116-30-11-14	116A 3P CONT 1NO/NC AUX 250-		116A 3P CONT 1NO/NC AUX	250-		442817		911a2a90-25b0-cf93-e814-40a5106de259
149	ABB AF12-30-01-13	AF12 3P CONTR 1NC 100-25 0V		AF12 3P CONTR 1NC 100-25	0V		165548		911a2a90-25b0-cf93-e814-40a5a856fc59
150	ABB AF12-30-10-11	12A 3P CONT 1NO AUX 24VA C/DC		12A 3P CONT 1NO AUX 24VA	C/DC		442610		911a2a90-25b0-cf93-e814-40a538aa185a
151	ABB AF12-30-10-13	12A 3P CONT 1NO AUX 100- 250V		12A 3P CONT 1NO AUX 100-	250V		442612		911a2a90-25b0-cf93-e814-40a568af335a
152	ABB AF12-30-10-14	12A 3P CONT 1NO AUX 250- 500V		12A 3P CONT 1NO AUX 250-	500V		442613		911a2a90-25b0-cf93-e814-40a5c0734e5a
153	ABB AF12ZB-30-10-21	CONTACTOR 24-60V		CONTACTOR 24-60V			154435		911a2a90-25b0-cf93-e814-40a518ed685a
154	ABB AF12ZB-30-10RT-22	CONT 3POLE 28A		CONT 3POLE 28A			433050		911a2a90-25b0-cf93-e814-40a5983e835a
155	ABB AF140-30-11-11	140A 3P CONT 1NO/NC AUX 24V		140A 3P CONT 1NO/NC AUX	24V		442818		911a2a90-25b0-cf93-e814-40a5e8339d5a
156	ABB AF140-30-11-13	140A CONT 1NO/NC AUX 100 -250		140A CONT 1NO/NC AUX 100	-250		442819		911a2a90-25b0-cf93-e814-40a520fbb65a
157	ABB AF140-30-11-14	140A 3P CONT 1NO/NC AUX 250-		140A 3P CONT 1NO/NC AUX	250-		442820		911a2a90-25b0-cf93-e814-40a5000bd15a
158	ABB AF146-30-11-11	146A 3P CONT 1NO/NC AUX 24V		146A 3P CONT 1NO/NC AUX	24V		442822		911a2a90-25b0-cf93-e814-40a5b0d7ea5a
159	ABB AF146-30-11-13	146-3P CONT 1NO/NC AUX 1 00-		146-3P CONT 1NO/NC AUX 1	00-		442826		911a2a90-25b0-cf93-e814-40a5001e045b
160	ABB AF16-30-01-11	3P CONTR 1NC 24-60VAC/DC COIL		3P CONTR 1NC 24-60VAC/DC	COIL		852542		911a2a90-25b0-cf93-e814-40a5f8611d5b
161	ABB AF16-30-01-13	3P CONTR 1NC 100-250VAC/ DC		3P CONTR 1NC 100-250VAC/	DC		852356		911a2a90-25b0-cf93-e814-40a5187e365b
162	ABB AF16-30-10-11	18A 3P CONT 1NO AUX 24VA C/DC		18A 3P CONT 1NO AUX 24VA	C/DC		442614		911a2a90-25b0-cf93-e814-40a51846505b
163	ABB AF16-30-10-13	18A 3P CONT 1NO AUX 100- 250V (1SBL177001R1310)		18A 3P CONT 1NO AUX 100-	250V (1SBL177001R1310)		442617		911a2a90-25b0-cf93-e814-40a580c76b5b
164	ABB AF16-30-10-14	18A 3P CONT 1NO AUX 250- 500V		18A 3P CONT 1NO AUX 250-	500V		442618		911a2a90-25b0-cf93-e814-40a5d0c2845b
165	ABB AF190-30-11-11	190A 3P CONT 1NO/NC AUX 24V		190A 3P CONT 1NO/NC AUX	24V		442850		911a2a90-25b0-cf93-e814-40a540769d5b
166	ABB AF190-30-11-13	190A 3P CONT 1NO/NC AUX 100-		190A 3P CONT 1NO/NC AUX	100-		442854		911a2a90-25b0-cf93-e814-40a578f2b65b
167	ABB AF190-30-11-14	190A 3P CONT 1NO/NC AUX 250-		190A 3P CONT 1NO/NC AUX	250-		442856		911a2a90-25b0-cf93-e814-40a5b03cd05b
168	ABB AF205-30-11-11	205A 3P CONT 1NO/NC AUX 24		205A 3P CONT 1NO/NC AUX	24		442857		911a2a90-25b0-cf93-e814-40a5a8b2e95b
169	ABB AF205-30-11-13	205A 3P CONT 1NO/NC AUX 100-		205A 3P CONT 1NO/NC AUX	100-		442858		911a2a90-25b0-cf93-e814-40a5409c035c
170	ABB AF205-30-11-14	205A 3P CONT 1NO/NC AUX 250-		205A 3P CONT 1NO/NC AUX	250-		442859		911a2a90-25b0-cf93-e814-40a568a61c5c
171	ABB AF26-30-00-11	26A 3P CONT 24VAC/DC COI L		26A 3P CONT 24VAC/DC COI	L		442620		911a2a90-25b0-cf93-e814-40a5d052355c
172	ABB AF26-30-00-13	26A 3P CONT 100-250AC/DC COIL		26A 3P CONT 100-250AC/DC	COIL		442622		911a2a90-25b0-cf93-e814-40a568d84e5c
173	ABB AF26-30-00-14	26A 3P CONT 250-500VAC/D C		26A 3P CONT 250-500VAC/D	C		442623		911a2a90-25b0-cf93-e814-40a55815685c
174	ABB AF265-30-11-13	3P,248A,100-250VAC/DC CO NT.		3P,248A,100-250VAC/DC CO	NT.		269916		911a2a90-25b0-cf93-e814-40a53876815c
175	ABB AF265-30-11-14	CTR,3P,248A,250-500VAC/		CTR,3P,248A,250-500VAC/			1020455		911a2a90-25b0-cf93-e814-40a548529a5c
176	ABB AF26N1-30-00-13	NEMA SZ1 CONTACTOR 100-2 50V		NEMA SZ1 CONTACTOR 100-2	50V		239198		911a2a90-25b0-cf93-e814-40a5c839b55c
177	ABB AF26Z-30-00-21	3P CONTACTOR 24-60VAC		3P CONTACTOR 24-60VAC			70219		911a2a90-25b0-cf93-e814-40a5589fce5c
178	ABB AF30-30-00-11	32A 3P CONT 24VAC/DC COI L		32A 3P CONT 24VAC/DC COI	L		442629		911a2a90-25b0-cf93-e814-40a5b8dae75c
179	ABB AF30-30-00-13	32A 3P CONT 100-250VAC/D C COI		32A 3P CONT 100-250VAC/D	C COI		442631		911a2a90-25b0-cf93-e814-40a5001a015d
180	ABB AF30-30-00-14	32A 3P CONT 250-500VAC/D C COI		32A 3P CONT 250-500VAC/D	C COI		442636		911a2a90-25b0-cf93-e814-40a5a0f7195d
181	ABB AF38-30-00-11	38A 3P CONT 24VAC/DC COI L		38A 3P CONT 24VAC/DC COI	L		442638		911a2a90-25b0-cf93-e814-40a5c0c8325d
182	ABB AF38-30-00-13	38A 3P CONT 100-250VAC/D C COI(1SBL297001R1300)		38A 3P CONT 100-250VAC/D	C COI(1SBL297001R1300)		442639		911a2a90-25b0-cf93-e814-40a590b74b5d
183	ABB AF38-30-00-14	38A 3P CONT 250-500VAC/D C COI		38A 3P CONT 250-500VAC/D	C COI		442640		911a2a90-25b0-cf93-e814-40a5a89a645d
184	ABB AF38ZB-30-00RT-23	(866B04209) CONTACTOR		(866B04209) CONTACTOR			281225		911a2a90-25b0-cf93-e814-40a578d3649f
